shipment_id,origin_country,destination_country,origin_port,destination_port,shipment_date,expected_delivery_date,actual_delivery_date,shipment_status,cargo_value_usd,carrier
SHP-1001,USA,Netherlands,Los Angeles,Rotterdam,2024-01-05,2024-01-25,2024-01-27,Delayed,125000,OceanLink
SHP-1002,U.S.,India,Los Angeles,Mumbai,2024/01/08,2024/01/30,2024/01/29,Delivered,89000,Global Freight
SHP-1003,United States,China,Los Angeles,Shanghai,10-01-2024,2024-02-02,,In Transit,210000,Pacific Cargo
SHP-1004,Netherlands,USA,Rotterdam,Los Angeles,2024-01-12,2024-02-01,2024-02-05,delayed,150000,OceanLink
SHP-1005,India,US,Mumbai,Los Angeles,2024-01-15,2024-02-10,2024-02-09,Delivered,75000,Asia Logistics
SHP-1006,China,Netherlands,Shanghai,Rotterdam,2024-01-20,2024-02-15,,in_transit,185000,Pacific Cargo
SHP-1007,CHN,NLD,Shanghai,Rotterdam,2024-01-20,2024-02-15,2024-02-20,DELAYED,185000,Pacific Cargo
SHP-1007,CHN,NLD,Shanghai,Rotterdam,2024-01-20,2024-02-15,2024-02-20,DELAYED,185000,Pacific Cargo
SHP-1008,India,Netherlands,Mumbai,Rotterdam,2024-01-25,2024-02-20,2024-02-18,Delivered,,Global Freight
SHP-1009,US,China,Los Angeles,Shanghai,2024-02-01,2024-02-22,2024-02-28,Delayed,-5000,OceanLink
SHP-1010,Netherlands,India,Rotterdam,Mumbai,invalid-date,2024-02-28,2024-03-01,Delivered,99000,Asia Logistics
SHP-1011,China,USA,Shanghai,Los Angeles,2024-02-10,2024-03-05,2024-03-04,Completed,175000,Pacific Cargo
